t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
government,0,0,0,2,1,0,0,0,0,0
tariffs,0,0,0,0,0,0,0,2,1,1
trump,1,2,0,0,0,1,0,0,1,0
chinese,0,0,1,2,1,0,0,0,0,1
trade,1,0,1,0,1,1,0,0,0,0
president,1,0,0,0,0,1,0,0,1,0
donald,1,0,0,0,0,1,0,0,1,0
china,0,1,0,0,1,0,0,0,1,0
talks,1,1,0,0,0,0,0,0,0,0
washington,1,0,0,0,0,0,0,0,0,1
told,0,1,1,0,0,0,0,0,0,0
liu,0,1,1,0,0,0,0,0,0,0
imposed,0,0,0,1,0,0,0,0,1,0
officials,0,0,0,1,1,0,0,0,0,0
progress,0,0,0,0,1,0,1,0,0,0
increased,0,0,0,0,0,1,1,0,0,0
agricultural,0,0,0,0,0,1,1,0,0,0
purchases,0,0,0,0,0,1,1,0,0,0
address,0,0,0,0,0,1,0,1,0,0
theft,0,0,0,0,0,1,0,0,1,0
past,0,0,0,0,0,0,1,0,1,0
year,0,0,0,0,0,0,0,0,1,1
